IFR;PERC_D;PERC_K;MFI;UO;SUPRES;FUT
35,92 ;27,72 ;23,17 ;54,19 ;36,73 ;5,15 ;1
39,29 ;26,59 ;27,65 ;61,75 ;39,04 ;9,37 ;3
41,50 ;25,71 ;32,26 ;60,87 ;45,65 ;12,18 ;3
38,23 ;25,12 ;38,57 ;54,01 ;40,56 ;6,04 ;3
36,37 ;25,90 ;36,20 ;44,55 ;40,15 ;4,23 ;3
31,37 ;25,91 ;20,98 ;41,75 ;35,39 ;1,28 ;1
29,55 ;25,96 ;13,83 ;35,00 ;32,98 ;4,15 ;1
39,60 ;26,56 ;22,56 ;33,28 ;45,78 ;14,67 ;1
40,93 ;28,23 ;38,81 ;40,75 ;46,87 ;16,21 ;1
49,39 ;32,88 ;65,03 ;49,96 ;51,89 ;27,08 ;3
49,95 ;38,55 ;78,71 ;58,16 ;55,15 ;27,87 ;3
46,12 ;44,39 ;84,79 ;53,80 ;51,60 ;22,38 ;1
45,87 ;48,73 ;77,62 ;48,57 ;57,06 ;22,02 ;1
51,38 ;53,47 ;78,89 ;47,89 ;62,37 ;29,06 ;2
48,68 ;60,28 ;82,25 ;56,06 ;56,40 ;25,50 ;2
50,52 ;68,54 ;88,16 ;56,83 ;54,18 ;27,84 ;2
52,11 ;75,62 ;86,28 ;55,26 ;49,30 ;29,85 ;1
47,29 ;79,37 ;72,58 ;53,74 ;42,98 ;23,92 ;1
53,88 ;80,37 ;74,05 ;62,27 ;53,33 ;32,42 ;1
56,80 ;79,64 ;72,10 ;73,26 ;55,54 ;36,69 ;3
57,86 ;80,02 ;88,23 ;82,43 ;52,50 ;38,27 ;3
52,94 ;80,10 ;78,37 ;74,49 ;52,07 ;32,73 ;3
47,57 ;77,51 ;55,59 ;65,74 ;47,30 ;25,90 ;3
46,11 ;71,61 ;29,12 ;57,20 ;43,52 ;23,92 ;2
42,72 ;62,89 ;9,70 ;51,04 ;44,15 ;19,17 ;2
45,52 ;54,57 ;11,43 ;55,61 ;41,77 ;22,26 ;3
44,98 ;47,99 ;13,33 ;60,03 ;39,00 ;21,55 ;1
48,49 ;42,58 ;25,32 ;50,82 ;44,71 ;25,30 ;1
49,04 ;38,37 ;34,28 ;51,35 ;53,34 ;25,90 ;1
53,09 ;34,83 ;56,30 ;54,21 ;58,28 ;30,32 ;2
56,67 ;34,19 ;72,68 ;57,09 ;62,86 ;34,59 ;3
52,26 ;37,01 ;80,90 ;55,86 ;63,31 ;31,44 ;3
47,65 ;41,49 ;69,48 ;48,02 ;56,18 ;26,17 ;3
48,00 ;46,61 ;55,76 ;39,86 ;59,81 ;27,30 ;3
41,01 ;49,32 ;35,84 ;33,97 ;46,67 ;18,24 ;1
38,88 ;50,15 ;20,83 ;34,84 ;37,76 ;16,47 ;1
45,57 ;49,29 ;17,53 ;40,95 ;45,38 ;24,11 ;1
50,36 ;49,23 ;33,74 ;48,29 ;47,14 ;30,38 ;2
47,59 ;48,37 ;48,57 ;48,32 ;45,74 ;26,53 ;1
48,22 ;46,33 ;54,34 ;43,48 ;46,68 ;27,32 ;2
52,41 ;44,30 ;62,59 ;43,79 ;47,87 ;33,46 ;2
52,98 ;45,17 ;77,37 ;49,54 ;53,28 ;35,03 ;2
50,24 ;48,37 ;84,52 ;43,17 ;52,13 ;34,89 ;1
53,55 ;54,18 ;88,18 ;39,90 ;52,08 ;39,54 ;1
55,90 ;61,67 ;88,23 ;37,66 ;53,53 ;43,01 ;1
63,17 ;70,23 ;94,58 ;49,93 ;64,03 ;55,56 ;2
62,94 ;76,40 ;89,20 ;60,04 ;62,06 ;55,30 ;2
63,53 ;80,57 ;86,11 ;60,86 ;63,39 ;56,37 ;2
66,36 ;84,14 ;86,52 ;69,25 ;66,23 ;61,60 ;3
63,75 ;86,98 ;88,07 ;75,47 ;66,63 ;64,86 ;3
54,80 ;87,17 ;79,14 ;68,25 ;56,11 ;57,27 ;1
55,34 ;85,07 ;65,60 ;60,73 ;53,78 ;62,39 ;1
60,13 ;82,28 ;63,06 ;66,63 ;56,75 ;71,60 ;1
63,77 ;80,65 ;73,54 ;75,36 ;63,06 ;79,61 ;1
67,28 ;79,87 ;87,63 ;77,49 ;66,16 ;92,60 ;2
68,79 ;80,42 ;94,08 ;80,18 ;66,16 ;98,09 ;2
65,63 ;81,23 ;93,48 ;76,34 ;68,69 ;93,92 ;1
66,72 ;81,71 ;90,77 ;76,60 ;76,10 ;96,68 ;2
67,84 ;81,78 ;88,68 ;76,61 ;74,86 ;95,25 ;2
69,27 ;82,99 ;90,09 ;75,50 ;69,01 ;95,16 ;2
63,01 ;85,04 ;84,02 ;70,35 ;61,88 ;88,00 ;1
65,09 ;86,91 ;79,88 ;71,57 ;58,93 ;92,24 ;1
68,92 ;87,81 ;81,68 ;72,29 ;59,20 ;98,54 ;2
69,44 ;87,15 ;81,68 ;72,55 ;55,16 ;92,39 ;3
62,94 ;84,84 ;73,29 ;73,43 ;48,12 ;85,96 ;1
61,41 ;80,67 ;55,97 ;72,67 ;47,72 ;84,37 ;1
67,42 ;77,11 ;58,72 ;73,40 ;52,58 ;95,58 ;1
70,90 ;75,17 ;71,17 ;73,12 ;58,06 ;96,70 ;1
71,36 ;74,58 ;84,81 ;72,48 ;53,99 ;94,86 ;3
66,06 ;73,76 ;76,68 ;58,83 ;42,61 ;84,93 ;3
66,95 ;72,24 ;66,16 ;58,26 ;51,54 ;86,44 ;2
70,05 ;70,18 ;63,16 ;59,69 ;55,88 ;91,98 ;3
60,83 ;67,79 ;60,14 ;53,69 ;50,69 ;83,67 ;2
59,85 ;65,89 ;56,22 ;47,11 ;47,42 ;82,71 ;2
54,31 ;63,84 ;37,52 ;46,76 ;43,77 ;77,07 ;1
57,21 ;60,88 ;32,09 ;51,57 ;46,34 ;80,90 ;2
63,05 ;57,22 ;38,16 ;50,42 ;55,52 ;89,77 ;3
56,96 ;52,85 ;45,56 ;44,38 ;48,92 ;83,32 ;2
50,84 ;48,83 ;40,49 ;43,64 ;43,81 ;75,49 ;1
56,93 ;45,59 ;36,94 ;49,11 ;53,22 ;82,76 ;2
56,23 ;42,99 ;39,76 ;48,29 ;51,15 ;81,78 ;2
58,69 ;43,18 ;61,87 ;44,97 ;58,06 ;86,17 ;2
57,77 ;44,72 ;70,09 ;42,29 ;55,41 ;85,02 ;1
58,12 ;49,20 ;77,80 ;53,11 ;49,97 ;85,60 ;1
60,54 ;54,46 ;79,49 ;62,07 ;52,49 ;89,53 ;1
65,19 ;59,83 ;86,49 ;62,56 ;60,75 ;97,97 ;2
68,13 ;65,17 ;93,61 ;69,53 ;61,19 ;97,93 ;2
68,40 ;71,33 ;95,87 ;69,64 ;66,17 ;98,48 ;2
66,28 ;77,48 ;92,29 ;75,99 ;61,38 ;96,58 ;2
70,36 ;83,54 ;94,33 ;76,16 ;68,30 ;99,95 ;2
68,56 ;86,78 ;91,02 ;76,60 ;68,56 ;96,09 ;2
63,72 ;88,38 ;84,50 ;74,56 ;60,95 ;92,02 ;1
65,95 ;88,47 ;78,65 ;81,74 ;60,10 ;95,52 ;1
70,26 ;88,64 ;80,95 ;83,24 ;61,27 ;98,07 ;1
77,65 ;89,19 ;91,48 ;84,71 ;69,48 ;100,00 ;1
74,86 ;89,17 ;93,48 ;85,99 ;67,13 ;96,54 ;1
74,93 ;88,76 ;92,13 ;79,22 ;64,32 ;96,70 ;1
80,82 ;88,51 ;90,07 ;81,24 ;73,44 ;97,78 ;1
81,26 ;88,33 ;92,68 ;82,17 ;77,56 ;98,61 ;1
83,15 ;88,83 ;95,49 ;82,34 ;77,33 ;98,65 ;2
83,82 ;89,99 ;94,95 ;83,41 ;76,52 ;96,79 ;2
82,08 ;91,52 ;92,41 ;81,87 ;74,10 ;95,81 ;2
82,84 ;92,50 ;89,80 ;82,36 ;73,85 ;96,47 ;2
83,60 ;92,38 ;90,41 ;75,43 ;76,01 ;98,40 ;2
