IFR;PERC_D;PERC_K;MFI;UO;SUPRES;FUT
35,73 ;17,47 ;31,13 ;33,16 ;42,75 ;17,26 ;1
34,97 ;17,94 ;37,02 ;33,85 ;39,83 ;15,21 ;1
44,89 ;21,87 ;53,48 ;39,28 ;51,42 ;31,18 ;1
47,71 ;28,12 ;70,36 ;45,84 ;54,69 ;36,43 ;1
49,72 ;36,50 ;90,49 ;44,95 ;61,05 ;40,23 ;2
51,95 ;45,07 ;90,52 ;50,32 ;61,09 ;44,48 ;1
47,49 ;53,79 ;85,85 ;52,95 ;53,26 ;36,12 ;1
51,33 ;62,32 ;82,68 ;60,61 ;59,91 ;43,27 ;1
57,08 ;69,64 ;85,22 ;69,37 ;64,28 ;55,44 ;1
58,38 ;76,42 ;92,20 ;70,13 ;59,10 ;58,40 ;1
61,71 ;83,06 ;96,77 ;75,89 ;65,09 ;66,39 ;3
61,93 ;87,79 ;95,99 ;82,68 ;64,43 ;66,92 ;3
56,73 ;89,93 ;89,61 ;74,51 ;60,12 ;59,01 ;2
55,48 ;88,57 ;78,30 ;73,10 ;60,96 ;57,04 ;2
54,58 ;85,93 ;66,76 ;74,65 ;56,32 ;55,67 ;2
55,57 ;83,48 ;63,78 ;80,23 ;52,77 ;57,42 ;2
56,42 ;81,20 ;62,19 ;80,23 ;54,67 ;58,86 ;3
53,75 ;77,17 ;48,88 ;79,98 ;44,57 ;55,36 ;3
48,98 ;70,10 ;28,59 ;73,16 ;40,00 ;48,67 ;3
48,77 ;60,93 ;14,27 ;67,01 ;41,72 ;48,36 ;3
41,68 ;51,08 ;7,35 ;66,98 ;39,60 ;37,26 ;1
42,17 ;42,50 ;12,42 ;61,48 ;42,64 ;37,87 ;1
54,39 ;37,36 ;32,00 ;60,41 ;51,06 ;55,67 ;3
46,44 ;34,77 ;43,45 ;51,96 ;41,10 ;42,28 ;3
43,49 ;32,37 ;42,20 ;44,84 ;40,95 ;36,50 ;1
47,73 ;28,74 ;29,49 ;44,29 ;46,60 ;43,35 ;1
52,12 ;28,01 ;42,30 ;51,45 ;51,09 ;51,10 ;2
49,44 ;30,99 ;55,43 ;49,44 ;53,01 ;46,47 ;1
50,52 ;36,48 ;63,71 ;56,69 ;51,33 ;48,29 ;1
55,83 ;43,54 ;70,90 ;56,74 ;48,64 ;57,87 ;3
52,42 ;50,73 ;77,10 ;49,39 ;52,00 ;52,47 ;1
52,85 ;56,29 ;82,01 ;40,75 ;60,51 ;53,23 ;1
56,19 ;60,56 ;81,86 ;49,71 ;59,47 ;59,09 ;1
58,42 ;65,56 ;87,20 ;59,24 ;56,76 ;63,19 ;2
61,99 ;72,80 ;94,71 ;67,78 ;65,38 ;70,27 ;3
57,74 ;77,97 ;88,78 ;67,71 ;63,88 ;64,64 ;3
55,20 ;80,56 ;78,73 ;60,15 ;52,50 ;61,14 ;3
50,43 ;79,65 ;55,54 ;57,03 ;49,41 ;54,15 ;3
47,67 ;75,65 ;34,93 ;55,68 ;46,60 ;49,81 ;3
43,42 ;68,92 ;16,55 ;46,21 ;40,32 ;42,58 ;2
40,55 ;60,53 ;6,49 ;41,52 ;31,51 ;37,26 ;2
38,82 ;51,63 ;1,73 ;35,13 ;24,58 ;33,92 ;1
42,66 ;42,43 ;4,45 ;41,34 ;27,82 ;38,78 ;2
42,66 ;32,92 ;9,05 ;41,78 ;27,58 ;38,78 ;3
42,42 ;24,53 ;13,30 ;41,83 ;32,15 ;38,40 ;3
41,21 ;17,07 ;11,57 ;41,11 ;29,30 ;36,58 ;3
37,70 ;12,15 ;11,26 ;35,02 ;29,30 ;33,72 ;3
31,45 ;9,06 ;7,10 ;26,40 ;26,49 ;22,32 ;1
35,18 ;8,56 ;12,10 ;19,75 ;34,20 ;27,24 ;1
35,92 ;9,75 ;17,18 ;23,49 ;32,72 ;31,13 ;1
43,47 ;13,57 ;36,11 ;27,70 ;40,94 ;42,05 ;2
43,32 ;18,31 ;47,13 ;34,15 ;43,04 ;41,75 ;2
42,89 ;23,83 ;58,68 ;39,15 ;44,84 ;40,94 ;1
39,38 ;28,32 ;53,76 ;41,29 ;43,07 ;34,23 ;1
49,26 ;34,23 ;64,80 ;48,49 ;58,54 ;49,05 ;1
52,05 ;41,46 ;76,33 ;55,73 ;59,13 ;53,96 ;3
54,26 ;50,64 ;89,64 ;52,30 ;58,46 ;57,96 ;3
49,14 ;58,02 ;78,52 ;45,57 ;52,22 ;51,03 ;3
46,49 ;62,70 ;59,38 ;45,31 ;51,19 ;48,43 ;3
38,32 ;62,39 ;33,23 ;45,45 ;44,31 ;29,73 ;1
38,66 ;59,47 ;20,89 ;44,95 ;49,61 ;30,27 ;2
43,31 ;55,05 ;18,88 ;54,31 ;48,96 ;37,84 ;2
40,52 ;51,82 ;24,74 ;55,01 ;43,00 ;31,46 ;2
39,50 ;47,28 ;23,95 ;49,86 ;42,05 ;29,08 ;3
43,01 ;41,22 ;21,75 ;50,26 ;45,24 ;34,49 ;3
38,70 ;33,28 ;18,17 ;43,56 ;43,35 ;24,87 ;3
34,29 ;26,10 ;13,87 ;37,12 ;43,48 ;13,41 ;2
39,54 ;21,45 ;17,60 ;45,63 ;47,39 ;21,52 ;3
37,44 ;20,18 ;21,75 ;43,47 ;40,99 ;16,22 ;1
35,53 ;20,95 ;27,85 ;36,80 ;44,15 ;11,24 ;1
42,41 ;22,34 ;31,33 ;35,71 ;48,76 ;20,16 ;1
49,13 ;25,63 ;54,40 ;42,78 ;52,02 ;32,89 ;1
51,72 ;31,78 ;79,27 ;48,29 ;55,70 ;38,32 ;1
52,98 ;39,98 ;95,59 ;55,32 ;64,12 ;40,98 ;3
55,93 ;48,42 ;94,07 ;64,32 ;60,64 ;47,29 ;3
47,55 ;55,86 ;80,89 ;57,68 ;55,00 ;30,79 ;1
54,88 ;62,52 ;77,55 ;65,15 ;63,85 ;47,40 ;1
57,92 ;68,88 ;78,96 ;72,22 ;62,66 ;55,37 ;1
58,17 ;75,85 ;90,55 ;66,97 ;62,66 ;56,04 ;1
60,63 ;82,33 ;89,70 ;73,94 ;60,98 ;62,46 ;1
62,56 ;86,40 ;91,04 ;81,43 ;62,43 ;67,67 ;1
63,97 ;87,79 ;91,72 ;81,64 ;64,21 ;71,54 ;1
67,03 ;87,55 ;93,44 ;82,37 ;70,87 ;80,40 ;2
69,41 ;87,58 ;94,38 ;90,29 ;69,66 ;87,93 ;2
64,34 ;88,81 ;91,98 ;83,04 ;65,73 ;80,29 ;2
64,66 ;90,11 ;89,23 ;84,11 ;60,06 ;81,18 ;2
66,88 ;91,16 ;88,43 ;84,58 ;63,59 ;87,27 ;1
67,58 ;91,32 ;91,91 ;84,76 ;63,41 ;89,22 ;1
69,20 ;92,22 ;97,83 ;84,78 ;67,88 ;93,71 ;1
74,33 ;93,11 ;99,04 ;90,13 ;75,39 ;100,00 ;2
76,35 ;93,85 ;98,39 ;90,82 ;74,88 ;98,23 ;3
73,54 ;93,92 ;94,08 ;81,52 ;76,94 ;95,25 ;2
70,23 ;93,05 ;86,55 ;80,16 ;76,34 ;91,72 ;1
66,66 ;91,39 ;77,08 ;75,26 ;73,79 ;87,81 ;1
68,93 ;89,80 ;74,91 ;75,38 ;75,22 ;93,02 ;1
73,33 ;89,01 ;81,29 ;76,91 ;74,78 ;98,68 ;1
74,99 ;88,84 ;90,38 ;76,67 ;71,50 ;97,52 ;2
77,81 ;88,73 ;96,87 ;77,23 ;73,08 ;100,00 ;1
74,43 ;88,23 ;94,51 ;76,96 ;73,29 ;96,89 ;1
74,45 ;87,64 ;93,07 ;67,83 ;76,72 ;96,96 ;1
77,09 ;86,67 ;85,38 ;72,06 ;71,13 ;91,19 ;3
72,90 ;85,77 ;78,45 ;66,27 ;64,52 ;88,05 ;3
63,25 ;84,22 ;63,11 ;59,37 ;56,54 ;79,86 ;2
64,35 ;81,42 ;49,75 ;59,03 ;55,29 ;81,63 ;2
65,22 ;76,40 ;36,06 ;57,86 ;48,22 ;82,99 ;1
64,13 ;69,87 ;31,65 ;57,61 ;52,21 ;82,10 ;1
68,90 ;63,48 ;39,35 ;63,77 ;56,11 ;89,69 ;2
69,79 ;58,78 ;52,17 ;67,84 ;60,55 ;91,26 ;2
69,95 ;55,59 ;64,37 ;67,53 ;63,08 ;91,53 ;2
69,35 ;54,10 ;72,01 ;61,11 ;66,99 ;91,12 ;2
64,57 ;53,55 ;73,52 ;56,33 ;63,68 ;87,84 ;1
64,47 ;54,83 ;74,55 ;50,47 ;66,50 ;87,78 ;1
71,53 ;58,22 ;80,26 ;55,56 ;69,49 ;97,95 ;1
71,89 ;63,67 ;85,13 ;62,24 ;63,83 ;95,88 ;1
63,81 ;69,08 ;80,37 ;51,72 ;54,61 ;90,37 ;1
73,48 ;73,59 ;79,96 ;59,99 ;64,16 ;99,69 ;1
78,14 ;77,18 ;84,41 ;70,44 ;69,43 ;99,50 ;3
74,27 ;80,66 ;95,75 ;70,06 ;70,25 ;96,68 ;3
68,27 ;82,46 ;88,15 ;61,83 ;64,82 ;92,02 ;2
63,84 ;82,83 ;76,91 ;61,79 ;58,25 ;88,31 ;2
67,47 ;82,68 ;73,23 ;59,94 ;61,39 ;94,24 ;2
64,48 ;81,57 ;70,21 ;53,33 ;64,87 ;91,69 ;2
65,44 ;80,21 ;72,90 ;56,39 ;61,26 ;93,18 ;2
68,02 ;79,74 ;76,15 ;62,83 ;57,25 ;97,28 ;2
68,43 ;79,96 ;81,91 ;68,92 ;57,91 ;97,95 ;2
64,49 ;79,25 ;78,06 ;64,25 ;58,43 ;94,96 ;2
65,38 ;76,62 ;72,04 ;57,16 ;66,17 ;96,18 ;2
62,39 ;73,71 ;61,99 ;57,74 ;58,51 ;94,02 ;2
62,76 ;71,47 ;56,78 ;63,79 ;56,23 ;93,17 ;2
65,55 ;69,69 ;57,14 ;62,49 ;55,50 ;96,45 ;2
64,42 ;68,65 ;60,86 ;59,16 ;52,36 ;95,74 ;1
68,69 ;69,32 ;78,98 ;59,18 ;57,61 ;100,00 ;3
64,12 ;69,69 ;79,48 ;66,55 ;58,48 ;96,30 ;3
69,13 ;70,71 ;91,08 ;73,81 ;59,95 ;100,00 ;3
53,66 ;69,40 ;66,27 ;63,76 ;50,43 ;87,99 ;3
53,60 ;67,51 ;54,98 ;59,98 ;59,46 ;87,94 ;3
43,38 ;63,26 ;23,77 ;50,36 ;48,10 ;77,03 ;1
48,90 ;59,75 ;25,18 ;51,74 ;51,22 ;82,77 ;1
45,23 ;55,54 ;19,29 ;44,94 ;48,55 ;78,33 ;1
51,67 ;52,47 ;33,20 ;53,74 ;57,38 ;85,64 ;1
53,96 ;48,45 ;42,77 ;61,84 ;54,90 ;88,51 ;1
59,45 ;46,75 ;64,22 ;62,62 ;64,23 ;95,98 ;2
58,22 ;45,09 ;76,14 ;61,86 ;59,87 ;94,30 ;2
57,90 ;47,08 ;84,21 ;56,33 ;64,59 ;93,84 ;2
57,94 ;50,22 ;83,17 ;52,46 ;62,58 ;93,90 ;1
55,73 ;56,51 ;80,45 ;52,92 ;59,32 ;91,70 ;1
62,04 ;63,30 ;86,21 ;53,07 ;59,88 ;100,00 ;1
65,88 ;71,36 ;91,91 ;54,00 ;62,82 ;100,00 ;1
72,21 ;78,71 ;99,29 ;64,85 ;66,38 ;99,20 ;1
75,78 ;84,85 ;98,02 ;74,32 ;71,29 ;98,54 ;3
70,60 ;88,00 ;92,62 ;74,26 ;70,96 ;93,92 ;2
65,76 ;88,86 ;83,87 ;68,26 ;65,65 ;89,05 ;1
65,90 ;87,94 ;75,90 ;68,25 ;68,62 ;89,21 ;1
69,28 ;87,31 ;77,51 ;68,61 ;68,37 ;95,52 ;2
70,29 ;87,55 ;82,59 ;68,89 ;62,97 ;94,58 ;2
67,88 ;87,28 ;83,85 ;61,39 ;56,16 ;92,41 ;1
68,15 ;85,80 ;78,53 ;56,15 ;55,68 ;92,90 ;1
72,04 ;83,88 ;81,98 ;63,60 ;60,92 ;99,46 ;3
66,46 ;81,69 ;78,34 ;59,73 ;59,41 ;92,60 ;2
67,07 ;80,01 ;77,52 ;53,06 ;63,94 ;93,67 ;2
61,74 ;77,49 ;61,16 ;47,40 ;54,21 ;88,20 ;1
59,71 ;74,52 ;49,18 ;41,58 ;53,29 ;85,59 ;1
66,94 ;72,14 ;56,07 ;40,51 ;59,84 ;98,45 ;1
71,85 ;70,32 ;66,29 ;43,46 ;58,07 ;93,81 ;2
72,68 ;70,45 ;84,95 ;49,72 ;56,48 ;95,69 ;1
72,68 ;70,95 ;83,08 ;49,47 ;61,94 ;95,61 ;1
75,67 ;71,86 ;90,15 ;54,18 ;64,42 ;100,00 ;1
77,01 ;73,07 ;89,25 ;55,19 ;63,12 ;92,87 ;3
70,41 ;73,81 ;84,19 ;48,47 ;61,10 ;87,79 ;3
71,55 ;75,46 ;76,01 ;54,45 ;56,70 ;89,99 ;3
48,45 ;76,04 ;54,35 ;49,75 ;44,58 ;64,65 ;1
55,07 ;74,83 ;45,19 ;51,06 ;48,55 ;75,39 ;3
50,73 ;70,69 ;29,08 ;51,06 ;48,43 ;68,75 ;3
45,36 ;64,04 ;25,05 ;50,16 ;41,20 ;59,47 ;1
39,66 ;56,01 ;10,86 ;49,15 ;37,93 ;47,80 ;1
51,66 ;47,72 ;15,51 ;55,68 ;48,84 ;69,24 ;2
50,87 ;40,91 ;27,93 ;55,78 ;47,44 ;67,68 ;1
52,16 ;36,51 ;44,63 ;53,00 ;52,07 ;68,86 ;1
54,85 ;34,83 ;60,86 ;53,75 ;51,85 ;74,09 ;3
56,11 ;37,28 ;76,40 ;58,92 ;52,20 ;76,79 ;3
50,15 ;41,10 ;79,60 ;53,42 ;50,93 ;66,11 ;1
53,14 ;46,22 ;75,11 ;46,09 ;60,66 ;72,07 ;1
55,80 ;51,86 ;75,88 ;54,12 ;56,49 ;77,62 ;2
53,42 ;59,52 ;79,77 ;48,75 ;54,71 ;72,05 ;1
57,59 ;67,47 ;87,09 ;58,22 ;60,62 ;80,77 ;2
57,66 ;74,07 ;87,28 ;57,01 ;57,14 ;80,94 ;2
59,01 ;79,81 ;96,30 ;56,30 ;61,80 ;83,74 ;2
56,53 ;83,04 ;89,91 ;63,96 ;65,56 ;79,71 ;2
56,34 ;84,02 ;85,23 ;65,32 ;61,80 ;79,43 ;2
58,73 ;84,44 ;83,39 ;65,20 ;60,68 ;84,06 ;3
55,80 ;84,84 ;78,76 ;59,75 ;62,65 ;79,94 ;2
50,25 ;82,96 ;58,89 ;54,04 ;52,62 ;71,49 ;1
53,58 ;78,78 ;42,20 ;53,70 ;53,88 ;77,14 ;1
56,43 ;74,16 ;45,46 ;54,61 ;54,36 ;82,28 ;1
56,02 ;71,47 ;63,09 ;60,35 ;60,24 ;81,71 ;1
62,60 ;69,81 ;81,37 ;68,85 ;65,85 ;94,51 ;2
64,54 ;69,61 ;88,12 ;68,29 ;66,09 ;98,57 ;2
65,18 ;70,78 ;95,73 ;74,90 ;69,75 ;98,21 ;2
65,48 ;71,74 ;92,08 ;73,67 ;71,40 ;95,56 ;2
66,69 ;73,17 ;91,62 ;67,96 ;73,06 ;97,94 ;1
68,07 ;76,57 ;89,48 ;77,75 ;65,62 ;95,53 ;1
70,22 ;82,28 ;93,60 ;76,93 ;70,46 ;99,69 ;1
71,17 ;87,55 ;92,83 ;82,94 ;65,72 ;97,20 ;1
76,10 ;91,30 ;96,88 ;83,16 ;69,70 ;100,00 ;2
76,87 ;92,73 ;94,20 ;88,59 ;68,62 ;97,35 ;3
72,37 ;92,92 ;89,89 ;85,58 ;68,06 ;94,24 ;2
69,35 ;91,06 ;78,95 ;78,13 ;67,56 ;92,08 ;1
72,61 ;89,59 ;78,89 ;77,67 ;71,30 ;97,79 ;2
73,48 ;88,63 ;82,96 ;78,02 ;68,40 ;97,84 ;2
72,94 ;88,73 ;90,35 ;71,72 ;67,84 ;97,49 ;3
73,18 ;88,04 ;87,38 ;70,65 ;59,85 ;96,49 ;3
61,39 ;85,18 ;67,12 ;64,16 ;52,43 ;87,72 ;2
62,00 ;79,91 ;49,47 ;57,21 ;59,97 ;87,96 ;1
60,66 ;73,05 ;32,42 ;62,53 ;55,63 ;86,57 ;1
62,97 ;67,25 ;37,70 ;61,23 ;55,12 ;89,51 ;1
69,83 ;64,94 ;58,14 ;62,04 ;60,45 ;99,55 ;1
73,76 ;64,94 ;78,96 ;64,30 ;62,79 ;98,16 ;3
67,30 ;65,43 ;87,37 ;56,34 ;57,87 ;91,88 ;1
62,83 ;63,63 ;74,08 ;47,77 ;62,52 ;87,13 ;1
70,75 ;62,32 ;75,62 ;57,10 ;67,13 ;99,25 ;3
62,05 ;63,22 ;75,26 ;55,13 ;63,46 ;89,59 ;2
64,27 ;66,97 ;83,20 ;55,28 ;61,83 ;94,11 ;3
58,52 ;71,20 ;70,52 ;49,58 ;54,54 ;87,04 ;2
56,63 ;73,50 ;58,34 ;49,03 ;49,05 ;84,61 ;2
60,54 ;72,76 ;51,48 ;50,40 ;57,05 ;91,57 ;2
56,20 ;68,81 ;43,42 ;48,66 ;56,08 ;86,03 ;2
57,67 ;64,43 ;47,93 ;54,75 ;51,78 ;88,52 ;3
56,46 ;60,49 ;38,64 ;55,82 ;52,85 ;87,04 ;3
52,97 ;55,53 ;30,95 ;50,72 ;48,00 ;82,73 ;3
48,93 ;48,94 ;16,00 ;43,76 ;43,35 ;77,39 ;3
42,01 ;40,59 ;8,04 ;34,52 ;39,55 ;66,67 ;1
48,71 ;34,81 ;18,50 ;40,36 ;40,01 ;75,87 ;2
50,25 ;32,23 ;35,12 ;45,25 ;41,34 ;78,15 ;1
47,68 ;31,54 ;45,29 ;37,51 ;36,69 ;74,34 ;1
53,52 ;32,79 ;54,64 ;47,55 ;48,37 ;83,03 ;1
56,05 ;34,84 ;66,41 ;48,47 ;50,94 ;87,20 ;2
60,99 ;40,16 ;86,47 ;55,22 ;60,03 ;96,19 ;2
61,80 ;47,36 ;95,80 ;61,30 ;71,45 ;97,77 ;3
61,13 ;56,59 ;99,06 ;60,36 ;69,57 ;97,00 ;3
53,53 ;65,52 ;88,36 ;61,91 ;63,53 ;87,61 ;3
50,56 ;71,62 ;73,40 ;54,23 ;64,98 ;83,49 ;2
52,15 ;74,57 ;61,73 ;53,61 ;63,64 ;85,77 ;3
44,76 ;74,94 ;48,56 ;51,92 ;57,15 ;74,85 ;1
50,68 ;73,78 ;44,22 ;61,06 ;58,49 ;83,44 ;1
54,50 ;71,49 ;45,82 ;70,56 ;58,73 ;89,69 ;2
57,68 ;69,24 ;66,19 ;70,99 ;58,34 ;95,32 ;2
60,57 ;68,09 ;85,49 ;73,00 ;65,46 ;100,00 ;3
52,34 ;66,25 ;82,49 ;68,91 ;56,85 ;86,47 ;2
50,17 ;63,98 ;67,88 ;61,83 ;48,18 ;82,49 ;2
53,03 ;61,97 ;55,39 ;55,12 ;56,05 ;87,94 ;3
51,49 ;61,14 ;54,18 ;49,61 ;51,71 ;85,30 ;3
49,86 ;61,53 ;52,11 ;43,45 ;48,90 ;82,55 ;3
46,09 ;60,30 ;33,11 ;37,25 ;41,92 ;75,94 ;2
49,03 ;58,22 ;27,10 ;36,89 ;46,64 ;77,62 ;2
43,62 ;52,56 ;15,24 ;36,63 ;45,50 ;66,17 ;1
48,61 ;45,75 ;24,22 ;37,62 ;53,88 ;74,87 ;1
54,84 ;41,30 ;42,46 ;44,83 ;58,18 ;88,75 ;1
55,71 ;41,90 ;73,27 ;43,44 ;58,35 ;90,84 ;1
59,13 ;46,20 ;94,11 ;42,30 ;62,70 ;98,15 ;2
61,13 ;50,82 ;95,76 ;44,16 ;68,45 ;98,43 ;1
63,77 ;55,81 ;97,00 ;43,63 ;67,50 ;100,00 ;1
61,18 ;62,77 ;95,73 ;43,75 ;75,96 ;96,21 ;1
66,12 ;70,52 ;96,89 ;51,52 ;79,33 ;99,77 ;1
73,28 ;79,59 ;96,89 ;62,21 ;81,83 ;100,00 ;3
69,25 ;87,33 ;93,83 ;67,62 ;73,60 ;90,45 ;2
64,12 ;91,75 ;82,26 ;65,90 ;68,70 ;83,73 ;2
64,75 ;91,55 ;71,52 ;65,81 ;69,54 ;83,91 ;2
65,50 ;88,51 ;66,66 ;71,19 ;69,79 ;84,97 ;2
67,04 ;85,55 ;69,21 ;77,43 ;70,22 ;88,41 ;3
63,56 ;82,24 ;67,19 ;72,82 ;62,25 ;83,33 ;3
68,37 ;79,93 ;74,90 ;72,55 ;60,07 ;95,98 ;3
58,53 ;75,83 ;60,03 ;66,77 ;57,65 ;80,57 ;3
54,99 ;70,63 ;50,04 ;59,21 ;56,67 ;74,22 ;3
46,64 ;63,37 ;28,48 ;50,30 ;53,35 ;53,30 ;1
44,00 ;56,87 ;23,78 ;51,69 ;45,76 ;45,26 ;1
51,91 ;52,11 ;28,69 ;58,81 ;51,10 ;64,33 ;1
53,12 ;48,86 ;37,42 ;59,28 ;49,45 ;67,57 ;3
52,83 ;46,71 ;49,83 ;46,53 ;45,59 ;66,93 ;3
54,40 ;45,19 ;53,51 ;46,01 ;48,56 ;70,75 ;3
44,46 ;41,51 ;41,81 ;45,95 ;42,92 ;46,82 ;1
44,46 ;38,97 ;37,17 ;43,84 ;48,84 ;46,82 ;1
50,18 ;37,81 ;39,59 ;45,68 ;55,97 ;59,79 ;3
55,49 ;41,72 ;63,67 ;47,48 ;56,43 ;73,74 ;3
47,53 ;46,76 ;69,17 ;45,78 ;53,21 ;53,37 ;3
42,32 ;49,79 ;55,95 ;40,18 ;49,37 ;37,16 ;3
42,83 ;49,63 ;35,99 ;46,01 ;47,05 ;38,39 ;3
36,10 ;46,11 ;18,15 ;46,60 ;44,70 ;14,40 ;3
30,89 ;41,25 ;9,78 ;45,17 ;34,82 ;0,00 ;1
30,23 ;37,78 ;10,58 ;36,43 ;43,29 ;26,51 ;1
33,78 ;36,23 ;23,21 ;37,08 ;41,59 ;31,62 ;1
35,82 ;35,95 ;37,01 ;36,57 ;43,62 ;34,57 ;1
40,87 ;33,82 ;44,53 ;42,45 ;47,63 ;42,17 ;1
49,95 ;32,91 ;60,96 ;44,74 ;54,09 ;58,46 ;1
53,05 ;35,52 ;79,45 ;51,76 ;62,71 ;64,97 ;1
57,21 ;42,01 ;94,39 ;59,30 ;70,75 ;74,46 ;3
59,37 ;50,84 ;97,69 ;58,84 ;68,43 ;79,74 ;3
51,73 ;59,97 ;91,94 ;51,77 ;62,42 ;65,39 ;1
57,22 ;68,83 ;90,32 ;58,27 ;68,12 ;78,68 ;1
57,45 ;75,91 ;86,88 ;65,50 ;64,89 ;79,27 ;1
60,59 ;82,01 ;91,90 ;65,56 ;62,86 ;87,34 ;1
62,46 ;87,41 ;93,18 ;70,96 ;64,14 ;92,40 ;1
64,97 ;91,30 ;95,99 ;82,37 ;64,90 ;97,84 ;2
61,84 ;92,70 ;91,99 ;82,88 ;61,17 ;92,94 ;1
66,16 ;92,50 ;92,61 ;84,29 ;71,73 ;100,00 ;3
59,20 ;91,09 ;85,01 ;71,76 ;64,22 ;88,93 ;1
62,89 ;90,83 ;89,58 ;73,80 ;68,48 ;98,66 ;1
63,10 ;90,20 ;84,72 ;74,54 ;65,26 ;95,15 ;1
66,91 ;90,95 ;93,58 ;75,64 ;67,70 ;99,71 ;1
63,98 ;90,43 ;87,24 ;66,87 ;61,96 ;94,01 ;1
64,87 ;89,77 ;87,21 ;59,27 ;65,80 ;96,13 ;1
72,05 ;88,71 ;86,48 ;66,89 ;70,24 ;98,81 ;1
72,24 ;88,10 ;86,49 ;70,89 ;67,30 ;90,33 ;1
72,46 ;87,17 ;84,25 ;64,18 ;67,12 ;90,88 ;1
73,07 ;86,42 ;78,22 ;64,86 ;67,02 ;92,29 ;1
78,06 ;86,00 ;85,77 ;67,46 ;70,39 ;100,00 ;1
78,37 ;86,86 ;92,53 ;69,01 ;74,90 ;99,60 ;1
79,88 ;87,43 ;98,64 ;74,63 ;74,28 ;98,80 ;1
83,06 ;88,69 ;98,64 ;76,01 ;74,94 ;100,00 ;1
78,22 ;89,38 ;93,41 ;83,18 ;74,71 ;93,24 ;1
82,80 ;90,26 ;94,41 ;84,29 ;79,17 ;100,00 ;3
78,36 ;90,46 ;88,24 ;85,69 ;73,75 ;92,66 ;3
60,81 ;89,16 ;72,56 ;73,40 ;57,12 ;76,58 ;1
56,39 ;85,36 ;44,08 ;69,24 ;49,56 ;71,36 ;1
60,95 ;78,93 ;27,82 ;73,67 ;50,43 ;79,16 ;1
61,18 ;71,46 ;25,32 ;69,18 ;48,56 ;79,57 ;1
63,53 ;64,37 ;34,86 ;68,69 ;51,58 ;83,73 ;3
61,46 ;57,40 ;35,84 ;67,10 ;43,83 ;81,58 ;1
60,63 ;51,15 ;37,21 ;62,73 ;44,61 ;80,74 ;1
64,99 ;45,34 ;42,09 ;63,44 ;53,81 ;87,93 ;3
58,99 ;40,88 ;48,14 ;57,76 ;54,65 ;81,80 ;1
62,13 ;40,14 ;65,88 ;57,47 ;56,76 ;86,91 ;3
62,16 ;43,53 ;74,59 ;55,98 ;56,57 ;86,96 ;3
53,49 ;47,61 ;64,59 ;49,62 ;48,63 ;77,63 ;3
51,63 ;49,87 ;45,61 ;42,07 ;50,72 ;75,38 ;2
54,36 ;49,70 ;33,31 ;37,67 ;53,12 ;78,96 ;1
50,05 ;49,33 ;32,56 ;40,67 ;48,55 ;73,89 ;1
52,32 ;49,06 ;34,80 ;49,09 ;54,00 ;76,71 ;1
58,93 ;49,73 ;48,06 ;49,04 ;55,48 ;86,01 ;1
64,19 ;52,50 ;73,10 ;56,41 ;57,41 ;95,16 ;3
60,37 ;54,97 ;88,12 ;49,31 ;61,81 ;90,97 ;1
62,03 ;56,39 ;87,39 ;57,66 ;59,10 ;93,82 ;3
58,58 ;58,00 ;79,03 ;57,02 ;57,52 ;90,09 ;3
52,29 ;60,16 ;65,12 ;48,14 ;54,00 ;82,58 ;1
57,75 ;63,22 ;60,82 ;55,06 ;58,67 ;90,97 ;3
54,40 ;65,68 ;54,66 ;48,32 ;50,88 ;86,77 ;1
54,36 ;67,76 ;53,52 ;40,17 ;42,86 ;86,74 ;3
55,75 ;67,26 ;43,60 ;38,98 ;47,58 ;88,68 ;3
47,78 ;62,25 ;27,97 ;38,15 ;42,15 ;78,73 ;1
50,19 ;55,21 ;24,76 ;32,99 ;45,94 ;81,86 ;1
54,59 ;49,00 ;31,49 ;40,02 ;53,13 ;87,96 ;3
51,21 ;44,96 ;42,74 ;34,56 ;48,35 ;83,72 ;3
46,09 ;41,62 ;35,07 ;27,89 ;44,95 ;76,67 ;3
42,27 ;36,99 ;19,15 ;19,63 ;44,52 ;70,77 ;1
43,57 ;32,30 ;12,41 ;22,97 ;45,74 ;72,29 ;1
44,91 ;28,68 ;20,90 ;19,57 ;50,07 ;73,82 ;1
41,23 ;25,92 ;18,80 ;19,78 ;38,99 ;68,48 ;1
40,97 ;24,78 ;17,75 ;20,08 ;36,73 ;68,10 ;1
51,17 ;25,30 ;29,40 ;20,60 ;44,85 ;79,91 ;1
54,09 ;27,91 ;54,97 ;29,21 ;50,22 ;83,95 ;1
54,34 ;31,52 ;75,27 ;38,41 ;47,94 ;84,30 ;1
54,16 ;36,49 ;79,73 ;40,38 ;45,92 ;82,42 ;1
54,80 ;43,03 ;78,02 ;42,72 ;49,38 ;82,33 ;1
58,21 ;50,89 ;83,20 ;49,53 ;56,38 ;87,22 ;2
61,05 ;58,66 ;90,80 ;48,70 ;60,25 ;90,89 ;3
58,54 ;66,87 ;92,73 ;48,93 ;51,95 ;87,46 ;3
58,49 ;74,74 ;88,58 ;50,57 ;52,17 ;87,10 ;3
52,45 ;79,20 ;69,54 ;50,60 ;50,81 ;79,33 ;3
